recpname,recpversion,mean,active_lower_bound,active_upper_bound
SPT02,.12,5343,0,15091
SPT03,.07,2461,0,9421
SPT04,.04,13534,0,40879
SPT61,.07,0,0,0
SPT62,.05,1890,0,8087
SPU01,.03,0,0,0
SPV01,.04,228,123,485
SPV02,.02,23,0,277
SPV0R,.02,785,216,3212
SPV61,.02,248,121,527
SPV62,.01,25,12,49
SPV6R,.02,499,18,2312
SPW01,.09,75,0,686
SPW02,.05,1040,0,4373
SPW04,.03,0,0,0
SPW05,.08,2273,930,7111
SPW06,.04,2332,413,7000
SPW07,.05,2019,0,8395
SPW61,.05,0,0,0
SPW62,.04,909,0,4280
SPW64,.03,0,0,0
SPW65,.05,3240,1431,9525
SPW66,.06,2423,936,7433
SPW67,.04,4750,0,14977
SPW68,.03,1941,758,5473
SRW01,.02,48,9,125
SRW02,.03,12,7,23
SRW06,.03,22,9,49
SRW08,.04,577,577,577
SRW09,.02,16,8,36
SRW10,.07,52,13,132
SRW12,.03,30,0,95
SRW13,.02,17,8,34
SRW15,.03,24,7,80
SRW18,.02,19,8,52
SRW19,.02,28,9,80
SRW20,.02,11,7,22
SRW21,.02,40,11,88
SRW24,.01,23,8,64
SRW26,.02,12,7,20
SRW27,.01,28,10,85
SRW28,.01,72,25,146
SRW63,.03,214,12,1434
SRW64,.02,63,15,148
SSD02,.08,1713,598,2827
SSD03,.10,1131,687,2034
SSD05,.06,1130,712,2031
SSD63,.09,1559,845,2272
SSD64,.04,3107,1650,4563
SSD65,.10,1548,752,2343
SSK01,.01,0,0,0
SSM01,.09,1210,304,3800
SSM02,.08,4186,1778,7766
SSM03,.06,7898,3874,12408
SSM04,.02,927,0,2771
SSM08,.04,5472,4020,6362
SSM09,.04,5184,300,11300
SSRD1,.02,0,0,0
SSRD2,.02,0,0,0
SSRD3,.02,0,0,0
SSRD4,.02,11,0,120
SSS00,.01,6866,3268,11067
SSS02,.07,7432,4167,11768
SSS06,.04,4813,2766,6971
SSS07,.03,5251,3404,7321
SSS61,.06,11349,6010,17406
SSS62,.10,10651,4326,17299
SSS63,.03,9465,5096,13970
SSS64,.01,0,0,0
SSS65,.05,12799,1674,23923
SSS94,.04,7330,4329,11593
STAG1,.01,7785,7207,8899
STC51,.01,22713889,0,48161874
STF01,.07,39887,1242,89650
STF02,.04,20888,27,45850
STF04,.01,29680,8577,53846
STPRM,.01,9,2,87
STT01,.12,25884,5887,54126
STT02,.11,33846,7426,73474
STT03,.11,33900,7705,72052
STT04,.05,23012,0,67841
STT05,.09,25541,8657,48601
STT06,.01,34297,5525,80634
STU01,.05,719,296,1141
STW01,.05,14,0,105
SVI00,.01,58,2,297
SVI01,.03,63,2,329
SVI02,.03,7,0,59
SVI03,.03,64,2,337
SVI04,.03,34,0,274
SVI05,.01,2,0,5
SVI06,.01,2,0,6
SVI07,.01,4,0,18
SVI08,.01,2,0,6
SVI09,.01,2,0,6
SVI10,.01,2,0,5
SVI62,.01,2,0,5
SVI63,.01,49,2,261
SVI64,.01,3,0,7
SWCI1,.01,0,0,3
SWCI2,.01,1,0,6
SWCI3,.01,0,0,0
SWCI4,.01,0,0,3
SWCI5,.01,0,0,2
SWCI6,.01,1,0,5
SWCI7,.01,0,0,1
SWL01,.01,2,0,4
SWL02,.01,3,0,6
SWL61,.01,3,2,6
SWL62,.01,4,2,21
SWT01,.04,986,608,1743
SWT02,.03,1698,641,3742
SWT61,.03,638,3,1330
SWT62,.03,780,16,1738
