recpid,recpname,recpversion,count,mean,mode,lower_bound,upper_bound
3PSP1.03,3PSP1,.03,116,436.36206896551727,0,0,1167
3PSP1.05,3PSP1,.05,16,353.25,0,0,833
3PSP1.06,3PSP1,.06,30,413.3666666666667,50,61,724
3PSP1.07,3PSP1,.07,8252,419.83507028599126,0,0,1001
3PST1.02,3PST1,.02,5,81655.0,0,0,408202
3PSV1.01,3PSV1,.01,4,11.25,0,0,30
3PSV2.01,3PSV2,.01,4,0.0,0,0,0
3PSV3.01,3PSV3,.01,4,42.75,16,16,92
3PWP1.04,3PWP1,.04,4383,5193.899840292037,3311,1063,9324
3PWP1.05,3PWP1,.05,7286,3922.3104584133957,2640,1141,6703
3RFD1.01,3RFD1,.01,880,4.3931818181818185,3,0,19
3RFD1.02,3RFD1,.02,2,515.5,0,0,1031
3RRM1.03,3RRM1,.03,11957,2171.662624404115,1645,928,3414
3RRM2.03,3RRM2,.03,13903,4795.245486585629,3936,2142,7787
3RRM3.03,3RRM3,.03,14178,6599.466285794893,3940,3938,11561
3RRM4.01,3RRM4,.01,9283,1411.6587310136808,3,2,3430
3RTM1.04,3RTM1,.04,4149,1192.4309472161967,889,431,2150
3RTM1.05,3RTM1,.05,169,1270.7988165680474,820,555,2327
3RTM1.06,3RTM1,.06,4611,1271.3888527434397,865,437,2507
3RTM1.07,3RTM1,.07,2503,1205.3879344786255,873,753,2700
3RTM2.05,3RTM2,.05,5068,1034.9779005524863,767,519,1827
3RTM2.06,3RTM2,.06,169,993.8639053254437,755,711,1553
3RTM2.07,3RTM2,.07,5326,989.4975591438227,877,411,1999
3RTM2.08,3RTM2,.08,3341,1025.384316073032,822,403,2827
3RTM3.04,3RTM3,.04,5032,1113.2843799682034,726,592,2065
3RTM3.05,3RTM3,.05,175,1164.4057142857143,745,416,2210
3RTM3.06,3RTM3,.06,5174,1050.3964051024352,820,418,2105
3RTM3.07,3RTM3,.07,3209,1023.4481146774696,794,432,2396
3SAT1.04,3SAT1,.04,4297,0.0,0,0,0
3SAT1.05,3SAT1,.05,6827,0.0,0,0,0
3SAT2.03,3SAT2,.03,4352,3917.0310202205883,3446,2290,5544
3SAT2.04,3SAT2,.04,7217,4403.062075654704,4645,2470,6335
3SC01.01,3SC01,.01,1237,0.0,0,0,0
3SC01.02,3SC01,.02,305,3.137704918032787,0,0,80
3SC01.03,3SC01,.03,347,0.0,0,0,0
3SC01.04,3SC01,.04,630,0.0,0,0,0
3SC01.05,3SC01,.05,3265,753.0588055130169,456,148,1357
3SC02.01,3SC02,.01,1517,0.0,0,0,0
3SC02.02,3SC02,.02,412,0.0,0,0,0
3SC02.03,3SC02,.03,450,0.0,0,0,0
3SC02.04,3SC02,.04,1259,28.679904686258936,0,0,234
3SC02.05,3SC02,.05,3942,512.2704211060376,449,157,986
3SC04.01,3SC04,.01,1440,0.0,0,0,0
3SLE1.03,3SLE1,.03,1220,2597.4139344262294,2034,1775,3827
3SLE1.04,3SLE1,.04,10184,2173.7624705420267,1899,1377,2970
3SLE2.04,3SLE2,.04,13668,2349.5617500731637,2188,1722,2995
3SMD1.03,3SMD1,.03,10749,2904.3641268955253,1934,1837,4753
3SMD2.02,3SMD2,.02,14135,3583.5374602051643,4773,469,5937
3SMD3.02,3SMD3,.02,13836,3525.2519514310493,4460,477,5840
3SMI1.02,3SMI1,.02,4177,574.6868565956428,292,153,1748
3SMI1.03,3SMI1,.03,17,718.0,295,295,1572
3SMI1.04,3SMI1,.04,164,766.2073170731708,518,209,2595
3SMI1.05,3SMI1,.05,6865,743.8607428987618,447,140,2188
3SNP1.02,3SNP1,.02,11626,3119.3761396869086,2995,924,5314
3SPC1.01,3SPC1,.01,4301,2316.9888398046965,1818,1802,3258
3SPC1.02,3SPC1,.02,6424,2297.303704856787,1822,1397,3308
3SPL1.02,3SPL1,.02,11752,12023.27842069435,12359,6512,16936
3SPL1.03,3SPL1,.03,196,16126.275510204081,15397,630,35874
3SPM1.04,3SPM1,.04,2347,4688.7409458883685,2995,727,8650
3SPM1.05,3SPM1,.05,2303,4270.945288753799,3022,820,7972
3SPM1.06,3SPM1,.06,7528,3530.3622476089267,2428,796,6264
3SPM1.07,3SPM1,.07,3,1739.0,592,592,2590
3SRD1.01,3SRD1,.01,11149,964.4863216431967,602,502,1593
3SRD2.01,3SRD2,.01,10916,1015.4021619640894,602,547,1699
3SRD3.02,3SRD3,.02,13516,149.21256288842852,0,0,812
3SRD4.01,3SRD4,.01,13839,0.0,0,0,0
3SRD5.01,3SRD5,.01,13471,2.646499888649692,0,0,80
3SRD6.01,3SRD6,.01,4056,0.0,0,0,0
3SRD6.03,3SRD6,.03,6861,148.84827284652383,3,2,425
3SRD6.04,3SRD6,.04,107,163.20560747663552,3,2,534
3SRD7.01,3SRD7,.01,4051,0.0,0,0,0
3SRD7.02,3SRD7,.02,6768,193.65410756501183,3,2,494
3SRD7.03,3SRD7,.03,107,355.5607476635514,3,2,1586
3SRD8.01,3SRD8,.01,5219,147.3828319601456,3,2,433
3SRD8.02,3SRD8,.02,8769,235.0752651385563,171,89,493
3SRD9.01,3SRD9,.01,5126,181.37534139680062,3,2,584
3SRD9.02,3SRD9,.02,8527,1536.3031546851178,195,95,9212
3SRDB.01,3SRDB,.01,8386,577.55032196518,3,2,1596
3SRI1.06,3SRI1,.06,4194,2049.4320457796853,404,206,5975
3SRI1.07,3SRI1,.07,7,2180.4285714285716,252,252,3951
3SRI1.08,3SRI1,.08,341,3260.923753665689,3153,237,7814
3SRI1.09,3SRI1,.09,3806,5150.676037834997,317,253,13165
3SRI1.10,3SRI1,.10,3,3711.0,0,0,11133
3SRI1.11,3SRI1,.11,3496,15058.468535469108,20713,908,50191
3SRI3.01,3SRI3,.01,9419,0.0,0,0,0
